question_id,category,status,final_answer,answer_v1,gate_feedback_v1,answer_v2,em_context_only,em_final,abstained,arm
C19,comparative,pass,"Not available in the knowledge graph.

The provided rows contain only one upgrade technology (direct_HX with supply_temp_c of 47.6°C). Data for HP and CO2_HTHP upgrade technologies are not included in the knowledge graph.","Not available in the knowledge graph.

The provided rows contain only one upgrade technology (direct_HX with supply_temp_c of 47.6°C). Data for HP and CO2_HTHP upgrade technologies are not included in the knowledge graph.",,,True,True,False,canonical
C20,comparative,pass,"Not available in the knowledge graph.

The rows provided do not contain supply temperature data. To answer which upgrade technology achieves the highest supply temperature, I would need a column showing temperature values for each upgrade type (direct_HX, HP, CO2_HTHP).","Not available in the knowledge graph.

The rows provided do not contain supply temperature data. To answer which upgrade technology achieves the highest supply temperature, I would need a column showing temperature values for each upgrade type (direct_HX, HP, CO2_HTHP).",,,False,True,False,canonical
C21,comparative,pass,"Not available in the knowledge graph.

The rows provided do not contain temperature delta-T (supply minus return) values for any of the upgrade technologies (direct_HX, HP, or CO2_HTHP).","Not available in the knowledge graph.

The rows provided do not contain temperature delta-T (supply minus return) values for any of the upgrade technologies (direct_HX, HP, or CO2_HTHP).",,,False,False,False,canonical
C22,comparative,pass,"Not available in the knowledge graph.

The provided rows contain only Pasteurization, Paper Drying, and Sterilization processes—no rubber vulcanization process is included.","Not available in the knowledge graph.

The provided rows contain only Pasteurization, Paper Drying, and Sterilization processes—no rubber vulcanization process is included.",,,False,False,False,canonical
C23,comparative,pass,"Not available in the knowledge graph.

The provided rows contain only temperature band definitions (Low Grade, Medium Grade, High Grade) with their temperature ranges. There is no data about IS (industrial-symbiosis) scenarios, data centers (DC), or mid-size facilities.","Not available in the knowledge graph.

The provided rows contain only temperature band definitions (Low Grade, Medium Grade, High Grade) with their temperature ranges. There is no data about IS (industrial-symbiosis) scenarios, data centers (DC), or mid-size facilities.",,,False,False,False,canonical
C24,comparative,pass,"Not available in the knowledge graph.

The provided rows do not contain any information about absorption chillers or their eligibility as TEE/CB technologies in Italy. The upgrade technologies listed are only: direct_HX, HP, and CO2_HTHP.","Not available in the knowledge graph.

The provided rows do not contain any information about absorption chillers or their eligibility as TEE/CB technologies in Italy. The upgrade technologies listed are only: direct_HX, HP, and CO2_HTHP.",,,False,False,False,canonical
C25,comparative,pass,"T1 band targets 2 sectors (Food, Drink and Milk; Pulp and Paper Industry), T2 band targets 2 sectors (Food, Drink and Milk; Pulp and Paper Industry), and T3 band targets 2 sectors (Food, Drink and Milk; Pulp and Paper Industry). All three bands target the same number of sectors with no difference.","T1 band targets 2 sectors (Food, Drink and Milk; Pulp and Paper Industry), T2 band targets 2 sectors (Food, Drink and Milk; Pulp and Paper Industry), and T3 band targets 2 sectors (Food, Drink and Milk; Pulp and Paper Industry). All three bands target the same number of sectors with no difference.",,,True,True,False,canonical
C26,comparative,pass,"Not available in the knowledge graph.

The provided rows contain industrial processes (Pasteurization, Paper Drying, Sterilization) with upgrade technologies and temperature data, but do not include any information about data center scale or industrial symbiosis (IS) heat capacity metrics needed to answer this question.","Not available in the knowledge graph.

The provided rows contain industrial processes (Pasteurization, Paper Drying, Sterilization) with upgrade technologies and temperature data, but do not include any information about data center scale or industrial symbiosis (IS) heat capacity metrics needed to answer this question.",,,False,False,False,canonical
C27,comparative,pass,"Not available in the knowledge graph.

The provided row contains only details about the TEE/CB (Titoli di Efficienza Energetica / Certificati Bianchi) incentive itself (eligible technologies, value, governing decrees), but does not include information about its applicability across 9 industrial-symbiosis scenarios in Italy.","Not available in the knowledge graph.

The provided row contains only details about the TEE/CB (Titoli di Efficienza Energetica / Certificati Bianchi) incentive itself (eligible technologies, value, governing decrees), but does not include information about its applicability across 9 industrial-symbiosis scenarios in Italy.",,,False,False,False,canonical
C28,comparative,pass,"Not available in the knowledge graph.

The provided rows only contain Regulation nodes (7 total). There are no RegulatoryArticle nodes shown in the data, so a comparison between the two types cannot be made from the information provided.","Not available in the knowledge graph.

The provided rows only contain Regulation nodes (7 total). There are no RegulatoryArticle nodes shown in the data, so a comparison between the two types cannot be made from the information provided.",,,True,True,False,canonical
C29,comparative,pass,"Not available in the knowledge graph.

The knowledge graph only contains data for Danish 4th Generation DH (4GDH) with a capacity of 300.0 MW. There is no row for Danish 3rd Generation DH (3GDH) to make a comparison.","Not available in the knowledge graph.

The knowledge graph only contains data for Danish 4th Generation DH (4GDH) with a capacity of 300.0 MW. There is no row for Danish 3rd Generation DH (3GDH) to make a comparison.",,,True,True,False,canonical
C30,comparative,pass,"Not available in the knowledge graph.

The provided row describes the Danish Heat Supply Act's DH Connection Mandate and identifies two compliant district cooling systems (DC-M and DC-L), but it does not contain information about industrial-symbiosis (IS) scenarios or their eligibility for this mandate.","Not available in the knowledge graph.

The provided row describes the Danish Heat Supply Act's DH Connection Mandate and identifies two compliant district cooling systems (DC-M and DC-L), but it does not contain information about industrial-symbiosis (IS) scenarios or their eligibility for this mandate.",,,True,False,False,canonical
C31,comparative,pass,"Not available in the knowledge graph.

The provided row contains information about Italian incentives (Titoli di Efficienza Energetica) but does not include data for Denmark (DK) IS projects or comparative transaction cost reduction potential between IT and DK.","Not available in the knowledge graph.

The provided row contains information about Italian incentives (Titoli di Efficienza Energetica) but does not include data for Denmark (DK) IS projects or comparative transaction cost reduction potential between IT and DK.",,,False,False,False,canonical
C32,comparative,pass,"Not available in the knowledge graph.

The provided rows contain only information about district heating percentage (dh_pct) and energy efficiency directive transposition (eed_transposed), but do not include data about regulatory instruments for industrial symbiosis (IS).","Not available in the knowledge graph.

The provided rows contain only information about district heating percentage (dh_pct) and energy efficiency directive transposition (eed_transposed), but do not include data about regulatory instruments for industrial symbiosis (IS).",,,False,False,False,canonical
C33,comparative,pass,"Not available in the knowledge graph.

The provided rows contain only technical parameters (dc_scale, process, upgrade_tech, supply_c, required_c, and status) but do not include data on regulatory support or financial incentive metrics needed to evaluate the ""best combination"" for a new IS project developer.","Not available in the knowledge graph.

The provided rows contain only technical parameters (dc_scale, process, upgrade_tech, supply_c, required_c, and status) but do not include data on regulatory support or financial incentive metrics needed to evaluate the ""best combination"" for a new IS project developer.",,,False,False,False,canonical
